,review,polarity,division
433,alexa become family member even know sound quality ability integrate ones daily life home awesome info weather traffic snarl weve come depend bright new companion,0.4473,positive
2143,alexa become one family members really fun interactive go blindly,-0.1,negative
1623,alexa become part day night nice device google music play device love product,0.64,positive
1662,alexa best,1,positive
1392,alexa best product see long time recognise voice perfectly,0.65,positive
2312,alexa best undoubtedly,1,positive
3372,alexa best way transfer home smart home good sound quality hear senstivity great price,0.6229,positive
1420,alexa better google assistant,0.5,positive
3201,alexa cable not receive pack,0,neutral
0,alexa can not hear start play,0,neutral
1046,alexa cant answer many thingsi dont find use except music player alarm,0.1875,positive
1864,alexa change life completely thankyou alexa,0.1,positive
2575,alexa come indian languages like odia,-0.125,negative
3971,alexa cool give alexa,0.455,positive
1451,alexa could not voice recognitionproduct not goodplease confirm replacement statusi m wait days no response u r side,0,neutral
3139,alexa cute but not smart cant answer query but cute though,0.2976,positive
1372,alexa device defective not respond complete installation process but device not work connect,0,neutral
1230,alexa device good but bulb not much use without wifibulb work mobile data,0.1583,positive
458,alexa device good wont say best sometimes doesnt recognize voice overall would say value money purchase offer get smart blub wipro free amazon sale,0.4629,positive
696,alexa device speaker remarkable function precisely error voice recognition sound device fabulous wont regret buy alexa device smart buy smart,0.3964,positive
128,alexa doesnt full feature struggle reminder reminder doesnt work doesnt remember play list doesnt store multiple play list face problem retrieve multiple playlist cldnt find multilanguage recognition featureskill eg tamil usual issue payondelivery courier show resistance pay delivery cash otherwise everything perfect quality delivery,0.22,positive
2213,alexa doesnt respond correctly alwaysalso would love see youtube available,0.45,positive
1356,alexa doesnt understand command limit music options not much use,0.1095,positive
118,alexa doesnt understand command properlyi ask play sainyoo nee play sainya vei ask play play languages radio station dont understandit not able recognise wipro bulbi feed alexa want return back if possible,-0.0938,negative
1841,alexa dont understand indian regional languages,0,neutral
1013,alexa dot good nice sound quality super bass super clierty but amazon service poor poor,0.1621,positive
1679,alexa dot mini like funny informative kind friendit available languagesbrilliant work amazon,0.4167,positive
505,alexa dumb compare google home think make mistake buy instead go ai assistant available market,-0.0333,negative
1024,alexa dumb say something say something else play arjit singh songs will start songits irritatingi not enjoy please find solution intelligent,0.135,positive
419,alexa echo dot super smart sophisticate technologyif fire tv best control tv voice recognize voice perfetly also play many game best kid also buy smart light control voice almost every question ask also ask say story play music much,0.5327,positive
254,alexa echo dot wipro smart bulb good combo offer get every one experience next generation intelligence alexa smart way control musiq sound light kid love ask many question alexa give answer,0.4198,positive
379,alexa echo not respond voice commandtill setup everything okbut not respond voice command,0,neutral
520,alexa echo value money lo use ask sing nursery rhyme stories hit,0,neutral
2035,alexa eco worth anyones buy try experience life,0.3,positive
1195,alexa flagship product amazon good product provide use fully,0.7,positive
2353,alexa generation echo amaze great soundjust songs vocabulary require but good,0.65,positive
2336,alexa generation worth buyingexcellenteasy accesssound goodkids will enjoy talk alexa,0.35,positive
353,alexa go eat brain chatty mode nonworking brief mode tell play song get enjoy state song title singer name source amazon music aaple musicor jio saavn pretty annoy if ask refund initiate,-0.0375,negative
110,alexa good bollywood hollywood songs come tollywood regions languages telugu tamil alexa not respond properly infact unable recognize telugu musicalbams need improve recognize regional languages,0.0958,positive
1787,alexa good but not work hindi language but think dat not latest version alexa include hindi language kindly help kindly exchange if possible,0.48,positive
2589,alexa good but sometime not command correctly,0.7,positive
2135,alexa good entertain voice recognition awesome totally worth money,0.6775,positive
847,alexa good friend integration smooth good sound quality excellent one room enough easily installable,0.5167,positive
686,alexa good listen command things perfectly kid keep busy give star deduct star one con feltatleast give build nasty back work atleast hrs continuous power supply need,0.1383,positive
1869,alexa good listen news music sound also good recive sound far also good must buy things,0.605,positive
2734,alexa good product home sound quality superb,0.7,positive
1959,alexa good quailty,0.7,positive
4066,alexa good sound,0.655,positive
1932,alexa good sound quality good function good boys good material user thank amazon thank,0.64,positive
2059,alexa good sound quality nice voice recognition,0.5667,positive
2403,alexa good thing will help us study good alexa will control full home want say alexa,0.7233,positive
50,alexa good understand indian accent cover hindienglish language job voice assistant term manage devices around try control denon avr alexa basic task pay song change volume but cant change music mode etc similarly control airtel internet tv set top box settop box swith not swith offso get work do upto certain extend but not completelythe biggest problem see echo devices not get information web though connect internet always every thing need skillideally go web find basic answer instead say dont knowif anyone want use play music one best smart speaker available market give price,0.3229,positive
346,alexa good understand query well conversation mode need train alexayou change call sign alexa but options available buy rs go buy another,0.3667,positive
743,alexa good value money fun use use india make sure u select english india language relate conversations media content,0.375,positive
161,alexa great bedroom live room alexa work like magic also get light wifi enable wipro along alexa package work wonder usit understand hindi english also talk us alone lonelyyou also connect alexa mobile use bluetooth speaker true fact version plug time but apart great love true fan alexa,0.4875,positive
562,alexa grow child would like hold hand cuteq like alexaans sound quality glow lightbonus tip buy offer will beneficial,0.375,positive
2580,alexa helpful advance but effect enjoy if devices connect songs not find library need update frequently,0.375,positive
1435,alexa helpful play handsfree music joke remainder news update facts alexa skills add value product,0.35,positive
1718,alexa helpful product switch off power search voice anything play music,0,neutral
15,alexa horribly wrong dumbi make mistake not buy google mini speakeralexa no answersit stupid speakeri know u need enable skills thathowever still bad assistantfully disssatisfiedaudio quality good but one buy simple bluetooth speaker cost rather mess ur mind incapable ai speaker can not answer questionsused fireststick limit usage limit appswill still need remote anyway not much useful firesticki strongly suggest please buy google home mini insteadaudio may bite less but google assistant amaze,-0.0797,negative
1594,alexa integration awesome configure home appliances itworth buy awesome sound quality,0.8,positive
2937,alexa integration collect days but amount not credit amazon wallet please check reply,0,neutral
2332,alexa integration good sound quality bluetooth connectivity also good,0.6,positive
908,alexa integration great voice recognition perfect sound quality awesome hall but best felt small size room must buy starter amazon smart speaker,0.5949,positive
3997,alexa integration greatspeaker sound quality great bluetooth connectivity also good,0.6333,positive
1048,alexa integration greatvoice recognition bad choice respond late not much farthersound quality seem good good pitch stabilizationwouldve great if wireless,0.1833,positive
570,alexa integration still pain sometimes doesnt hear us speak need talk loud phone integration still bad take time mins,-0.405,negative
2330,alexa integration voice recognition sound quality,0.4,positive
634,alexa integration weak n also sound quality weak,-0.1542,negative
2155,alexa integration would one device bluetooth,0.25,positive
4085,alexa integrationsound quality bluetooth connectivity besteven helpful sometimes,0.2,positive
3449,alexa isnt connect bluetooth wifi connect but no internet available display please correct,0.4,positive
1680,alexa isnt smart expect,0.2143,positive
1742,alexa itergrationvoice recognition sound quality good also look pretty,0.52,positive
2193,alexa learn day day behave like grow baby,0,neutral
3040,alexa love,0.6,positive
1642,alexa love u,0.5,positive
3271,alexa love u,0.5,positive
2972,alexa much rat want star,0.2,positive
154,alexa need real upgrade general echo dot gen poor voice recognition literally yell alexa listen crank volume change track anything whatsoever quite expectations since proudly fire stick even buy speaker buy mainly purpose favorite music could come handy still prefer play music tv speaker mean buy speaker if cant even play music without fuss overall big no highly disappoint,0.1508,positive
1299,alexa new friend lockdown hear good music prime account,0.4182,positive
1293,alexa no loyalty ever ask respond no voice recognition sound quality excellent mainly depend hungama songs,0.5222,positive
1485,alexa not able recognise voice time sound quality also puncture not decent experience,0.0222,positive
1503,alexa not able understand hindii try settings but product not instal hindi language software not communicate hindi,-0.25,negative
3381,alexa not able understand language easily bluetooth connectivity poor,-0.1122,negative
3485,alexa not good,-0.35,negative
1583,alexa not great voice interactive service like google improve good chatbot love volume kid njoying,0.4688,positive
2640,alexa not helpful various command developers need upgrade skills command recognition,0,neutral
1931,alexa not know everythingas say information topic coronait say sorry dont know thisjust link alexa google youtube,-0.5,negative
769,alexa not recognise voice respond instantly song go alexa deliver music newsseems problem device,0,neutral
1430,alexa not respondingblue light show aroundcant even reset,0.4,positive
3120,alexa not work months purchase stop work,0,neutral
532,alexa not work respond command internet connection good stable suddenly happen days usage dont know please somebody help,0.35,positive
3634,alexa not work tv,0,neutral
857,alexa not workingno lead light workingalexa totaly stop need repair iti want service centre number,0.4,positive
184,alexa ok nice speaker n mic but not recommend itamazon executive contact help step connect wipro garnet appreciate take concern customer use alexa thank amazon,0.4333,positive
1758,alexa one best product amazonyou try iti feel utmost satisfiction product,1,positive
324,alexa one step get information whatever want voice recognition also good go sometimes confuse problem not wireless continously plug corner plus feature need upgradation eg maths calculation math calculations alexa couldnt overall satisfy product,0.12,positive
2413,alexa opbut if want alexa buy black colouras colour tatti,-0.0972,negative
665,alexa overall good smart speakerbut time difficulty process voice commandssound output good,0.4561,positive
322,alexa pair easily act nice bluetooth speaker sound awesome specially bass owe gen echo amd take word gen echo n time better last sound quality worthy successorspecial thank amazon quick replacement echo deviceonly thorn foot software sometimes fail search desire music,0.2958,positive
892,alexa play amazon prime songs not outside songs waste money,-0.0667,negative
997,alexa play tollywood latest songsalexa turn light etc much morewonderful ai,0.3667,positive
1032,alexa poor quality adapter jaise tape lagi hui ha poor quality alexa speaker jaise old model de diya ha,-0.2733,negative
399,alexa pretty much job sound quality good microphone good not best job but lacs lot knowledge depend upon wikipedia if not mention wikipedia wont answer if u ask u always give std reply bite irritatingit time blink orange color indicate wait command word arent use kind spy,0.5389,positive
931,alexa problem time doesnt respond instructionson initial day set keep make mistake not recognise voice didnt expect alexa,0,neutral
1712,alexa product super amaze granny surprise experience unbelievable way understand alexa adapt,0.1958,positive
903,alexa program search quality not fast say not clever perticular old singers gazals singers devotional songs religions,-0.0137,negative
601,alexa purchase oct today not connect not work within one year hope will get replace amazon,0,neutral
461,alexa quit irritate understand comands but ok robot hope new update will make accurate buy sale value money product get alexa wipro bulb happy service also,0.2436,positive
1601,alexa quite comfortable,0.4,positive
3075,alexa really dosent hear clearly understand exactly give reply misinterpretting things,0.2875,positive
1976,alexa really smart,0.2143,positive
1193,alexa recognition worstalex doesnt recognize play wrong,-0.5,negative
2513,alexa skills limit many available us not available india,0.1571,positive
2695,alexa smart,0.2786,positive
812,alexa speaker good but alexa android application not good alexa listen skill also not accurate,0.25,positive
742,alexa still grow become better understand could get better if alexa cant understand device talk would better if stop say mean tv,0.2969,positive
1797,alexa stop work within one month replace no call,0,neutral
1532,alexa super,0.3333,positive
2547,alexa super quality,0.3333,positive
1480,alexa sw better conversational upgrade cant link youtube mobil reason need one click equivalent skills,0.5,positive
1918,alexa take much time try connect wifi bluetooth device,0.0375,positive
430,alexa u never ever feel alone interact alexa tons things like listen music news weather forecast many alexa hindi many good funny responses kind become routine talk alexa sound quality will say star sound quality amaze fill room easily,0.4958,positive
256,alexa unable identify songs place time get negative response unavailability request seem waste product melooking replacement device seem access limit resourcesound alexa need improvisation,-0.1143,negative
3283,alexa upgrade time time,0,neutral
2384,alexa useful schedule listen newsbut concern speaker low sound eg not hearable another,0.1975,positive
548,alexa user interface nice get information one voice command music options less interface youtube songs ganna app etc,0.2944,positive
202,alexa voice assistant will never understand command say dont ever buy reason promote amazon google home well look well perform task jeff bezos turd review applicable alexa devices,0,neutral
1208,alexa voice awsm really feel awsm talk alexagrt purchase if wnybody want buy smart speaker go blindly choose grt one,-0.0286,negative
1549,alexa voice not work,0,neutral
597,alexa voice recognition pretty good well integrate devices sound quality also good easy use,0.3931,positive
1779,alexa voice recognition quality good sound quality good excellent product amazon,0.7525,positive
1676,alexa wonderful ausome sound quality great music time kind funny u use hindi language great fun,0.5929,positive
2429,alexa wonderful concept but could see limitations couldnt recognize instructions play songs doesnt play old tamil songs,0.55,positive
3720,alexa work fine good product google home moni,0.5583,positive
3045,alexa work good give information right way,0.4929,positive
1935,alexa work properly,0,neutral
2188,alexa worst product if say alexa mosquito repellent start say find referencecom etc waste money,-0.7,negative
3693,alexabest eperience ever,0,neutral
3750,alexas sound doesnt good play netflix prime otherwise good,0.6,positive
746,alexq gen smart speaker goodthere slight delay recognize voiceotherwise good product thank amazonhoped will fix future update,0.1695,positive
2175,alk three voice recognition alexa integration sound quality areexcellent,0.4,positive
2635,alla average performance,-0.15,negative
1764,almost goodbut cant connect iphone hotspot alexawhysolution pleasethank amazonits apps show generation,0,neutral
2672,almost month no issue till date good connectivity smart devices,0.4571,positive
2558,already become part family,0,neutral
255,already google assisatant voice recognition shouldnt much deal alexa need plug conected wifi network function alexa if no wifi act bluetooth speaker sound qualitu pretty good alexa alexa isnt much fun think,0.2875,positive
1848,already oneand order another dealreally great product,0.8,positive
1936,always connectivity issue customer care people not able help,-0.25,negative
4149,always like items home,0,neutral
1074,always need wire begin one must connect android phone,0,neutral
452,always say invalid password connect android samsung devices however work ios devices share screenshot amazon team but barely reply highly disappoint,-0.35,negative
1709,always will connect issue,0,neutral
1878,amaze,0.6,positive
2840,amaze,0.6,positive
2963,amaze,0.78,positive
3344,amaze,0.6,positive
3623,amaze,0.6,positive
3725,amaze,0.6,positive
3937,amaze,0.6,positive
3801,amaze addition smart gadget,0.4071,positive
3363,amaze alexa,0.6,positive
4034,amaze alexa,0.6,positive
2471,amaze awesome ai speaker alexa mind blow voice recognition good speak quality thank amazon,0.6775,positive
2451,amaze cant tell nice use since year love,0.6,positive
4036,amaze device,0.6,positive
3922,amaze device worth every penny gen version masterpiece,0.45,positive
2207,amaze feature round performance good stuff bring amazon,0.275,positive
2106,amaze feel day use will review days,0.2,positive
3942,amaze gift wife,0.6,positive
779,amaze if look something budget satisfy requirements speaker along proper voice integration recognition go blindly,0.0333,positive
2830,amaze interest goodi like,0.4625,positive
2249,amaze love quality sound experience thankyou amazon,0.5667,positive
1833,amaze mom fell love thisbut could improve music service could add like youtube music spotify etc,0.5333,positive
2044,amaze performance,0.6,positive
959,amaze piece equipment,0.6,positive
1729,amaze pretty useful,0.3833,positive
1185,amaze product,0.6,positive
1378,amaze product,0.6,positive
1650,amaze product,0.6,positive
2979,amaze product,0.6,positive
3667,amaze product,0.6,positive
3753,amaze product,0.6,positive
4120,amaze product,0.6,positive
3412,amaze product alexa eco dotit will realy connect homesit excelent product coustmers,0.6,positive
2897,amaze product alexa understand almost command mom also able operate use hindi version,0.55,positive
4092,amaze product alexa will follow command say,0.78,positive
893,amaze product amaze feature apart sound really good good kid well simply paisa wusool,0.535,positive
2780,amaze product amazon coustomer support goodif problem solve imidiatly,0.4,positive
3090,amaze product amazon good person house,0.65,positive
2773,amaze product amazon thank much must buy,0.4,positive
3799,amaze product amazonbluetooth connectivitysound quality everything best,0.8,positive
1438,amaze product cheap n work like awesome maestro must buy product grow kidbetter give alexa not phone,0.7067,positive
2226,amaze product convenient must device if want lead smart hassle free life strongly recommend thank amazon,0.4079,positive
217,amaze product daughter want alexa happy m rat use months fabulous product m speechless must guy helpful funny entertain math solver funny game joke horror stories normal stories easy setup different languages volume good low high etc must buy thnx amazon geourgeous product,0.3791,positive
11,amaze product especially integration google calendar tons skills play around though hop will better software update butits bang product price buy wipro bulb echo dot together return wipro bulb get back get alexa truely bang smart assistant bluetooth speaker,0.3092,positive
948,amaze product essy use must buy,0.6,positive
3131,amaze product get festival sale value money,0.6,positive
2097,amaze product get one smart bulb,0.4071,positive
246,amaze product go but one con if buy play songs plzz dont sound quality not great but good but dont worry connect speakers sub woofer alexa via aux bluetooth last thing wan na say amaze even play game alexa like kbc wheel fun many thankyou read review,0.4889,positive
1235,amaze product good package get deliver time,0.65,positive
895,amaze product good sound quality clarity easy configure use,0.5333,positive
3966,amaze product great price thank u amazon deal,0.4667,positive
734,amaze product like friend need knowledgeable perfect sound quality take bite time connect smart devices owners delight,0.4179,positive
3338,amaze product like member family,0.6,positive
843,amaze product lot alexa enable products market will make alexa experience amaze sound quality superb normal size room,0.5417,positive
3115,amaze product love,0.55,positive
2507,amaze product love product drawback work plug,0.325,positive
2711,amaze product multipurpose use,0.6,positive
1008,amaze product never miss opportunity impress fun happy time echo,0.5667,positive
3556,amaze product nice clear voice,0.4333,positive
332,amaze product price tag buy prime day deal get already echo device bigger one two parent inlaws super happy excite anyone look gift something nice near one get,0.351,positive
3476,amaze product thankyou amazon,0.6,positive
3891,amaze product voice recognition good play exactly need,0.5167,positive
2841,amaze product will love,0.55,positive
1556,amaze product work amazingly could control lead light voice command,0.5,positive
714,amaze product work like charm love experience if kid home gon na treat watch speak alexaspeaker quality adequate std size room bass effective good buy,0.4306,positive
890,amaze sound clarity work flawlesslyjust go itgot great deal syska lead smart wifi bulba mindblowing deal,0.5036,positive
1496,amaze sound quality speaker size great voice recognitiondidnt expect good bass,0.3917,positive
2759,amaze sound quality voice recognition go guy u wont regret,0.5,positive
1625,amaze sound small speaker easy connectivity,0.2958,positive
3554,amaze think,0.6,positive
963,amaze use smart bulbs automation utilities but term play music lack punch audio quality price,0.2298,positive
2198,amaze value money,0.6,positive
3938,amaze voice recognize product good sound quality,0.5667,positive
1795,amazingbut little bite discrepancies ie sound not sharp clear difficult pair sony bravia smart tv,0.0149,positive
1527,amazingfull pesa vasool sound quality best voice recognition clear bestwow,0.51,positive
1333,amazingi love product,0.5,positive
2203,amazinng,0,neutral
2521,amazon alexa best,1,positive
763,amazon alexa echo dot best product easy use amaze good sound quality light weight handle,0.5048,positive
3813,amazon alexa good choice,0.7,positive
3031,amazon alexa useful product smart home work smart assistant,0.2729,positive
271,amazon become synonymous excellent quality buy great indian sale echo dot generation mind blow super voice recognition amaze response usual product quality delivery amazon excellent,0.5806,positive
215,amazon echo dot gen best term hardware amaze sound quality proper balance base mids treble yes configure alexa app if youd likenext build quality really good feel firm bluetooth wifi connectivity awesome best part connect phone laptop use external speakerthe downside alexa need lot improvement term knowledge basic things carry pretty well like reminders alarm music etc however come answer question fail timetip keep add skills alexa app improvement,0.2633,positive
512,amazon echo dot gen work expect extent think not buy next gen video,-0.05,negative
2606,amazon echo dot genexcellent voice qualitygood product use,0,neutral
315,amazon echo dot good product able understand voice command sound quality goodbought amazon salewas actually look blue tooth speaker sale come upand saw dot salepaid work fine far con work plug power outlet no battery backup,0.2617,positive
1061,amazon echo dot truly great product true smartness job extremely well impressive sound quality portable device easy handle completely satisfy,0.4798,positive
1364,amazon eco dot worth buy coz plug anywhere want easy use download alexa app connect device app also good sound quality,0.4583,positive
2626,amazon please replace product,0,neutral
2151,amazon prime membership not give suggest time order,0,neutral
2819,amazon prime recharge compulsory one years,0,neutral
3257,amazon prime subscription instant good result command if best buy,0.5667,positive
4122,amazon product always good,0.7,positive
2993,amazon product bro will always good,0.7,positive
108,amazon products worst term software one doesnt understand word time even if will play random music instead one ask,-0.3333,negative
2144,amazon think customers foolsno proper customer service,0,neutral
411,amazon update devices enable use open wi fi hor spot otherwise may need dedicate wifi router always available mobile phone if go down alexa go down stick network let use open wifi,0.0178,positive
3528,amezing product,0,neutral
3190,amezon acho dot products good,0.7,positive
3018,amozons amaze product love,0.65,positive
558,amzon give combo offer echo dot smart bulbfor but amazon cancel echo andthet send wipro smart bulbfor rsbalance rs will credit work days dont know worst sell concept sell product,-0.1429,negative
1529,another great product amazon kid enjoy lot itlots skills fun,0.5,positive
1746,answer not find device,0,neutral
3780,anybody try use echo dot external speaker tv,0,neutral
1039,anytime companion,0,neutral
1476,app buggy non responsive make harder integrate echo dot isnt responsive efficient also voice recognition answer sometimes not mark,-0.1,negative
3707,app integration make less user interactions,-0.1667,negative
2036,app not available play store use qatar u say use qatar but,-0.2,negative
598,arrive bundle wipro smart bulb doesnt connect voice recognition worse claim hear another roomits myth even doesnt hear m away although alexa play music amazon prime music unless specify spotify apple music,-0.0619,negative
165,arrive fast good condition sound clear compare mobile speakersthe alexa app google play bugsi reinstall alexa app change wake word usefulhelps save timeonly concern privacynote even mute button not stop recordingonly way turn off switch safeguard privacy important conversations not use,0.3483,positive
688,artificial intelligence awesome recognise almost everything english hindi language,0.1333,positive
2390,audio,0,neutral
3790,audio not clear,-0.05,negative
2571,audio put alexa super but bluetooth poor audio,-0.0933,negative
1995,audio quality good enough much fun interact,0.3333,positive
234,audio quality really nice compare size speaker mostly use listen classic songssongs play incorrectly time unless alexa not give specific keywords song check googleconnecting home devices like light tv switch off doesnt make sense pairall speaker not upto expectations google way way better,0.3238,positive
1825,ausome good,0.7,positive
3685,automatically switch off moment,0,neutral
3245,aux give back side not work,0,neutral
2493,average,-0.15,negative
2905,average,-0.15,negative
3987,average,-0.15,negative
4008,average,-0.15,negative
978,average product not good expect,-0.2,negative
3014,average proformbut good,0.275,positive
4114,await finally recieved super excite,0.3021,positive
975,awesome,1,positive
1021,awesome,1,positive
1339,awesome,1,positive
2261,awesome,1,positive
2281,awesome,1,positive
2286,awesome,1,positive
2586,awesome,1,positive
2636,awesome,1,positive
2893,awesome,1,positive
2956,awesome,1,positive
3289,awesome,1,positive
3356,awesome,1,positive
3403,awesome,1,positive
3610,awesome,1,positive
3810,awesome,1,positive
3816,awesome,1,positive
3874,awesome,1,positive
3903,awesome,1,positive
4037,awesome,1,positive
293,awesome alexa echo dot excite open dream come true awesome experience sound quality n voice recognition good love u alexa,0.5809,positive
3136,awesome bass sound quality,0.4167,positive
283,awesome but one thing miss google skill due time say dont know case search something difficult thing otherwise feature great,0.1929,positive
958,awesome buy amazon sale along wifi smart bulb worth,0.5048,positive
2883,awesome deal everyone must buy,1,positive
3833,awesome device,1,positive
298,awesome device amaze sound great bluetooth connectivity thank lot amazon voice recommendedhare krishna,0.65,positive
2865,awesome device but miss inbuilt battery,0.4,positive
1974,awesome device but need improvement,1,positive
3088,awesome device but not local information provide useful songs control smart devices,0.4029,positive
2989,awesome device must purchase,1,positive
2056,awesome experience hat off amazon,1,positive
660,awesome friend helper love,0.85,positive
3802,awesome get new friend,0.5682,positive
1520,awesome go,1,positive
1334,awesome innovative product amazon recommend everyone one home,0.75,positive
1714,awesome instrument house alexa friend year old son,0.55,positive
1637,awesome intelligent product,0.9,positive
4140,awesome kid njoy listen songs alexa,1,positive
4156,awesome love alexa,0.75,positive
463,awesome music quality good if dont prime membership set gaana default music service alexa app listen music without ads,0.955,positive
2904,awesome must buyworth money,1,positive
1857,awesome one become family member really helpful kid love,0.5667,positive
673,awesome product,1,positive
1035,awesome product,1,positive
1750,awesome product,1,positive
2605,awesome product,1,positive
2895,awesome product,1,positive
3163,awesome product,1,positive
3188,awesome product,1,positive
3454,awesome product,1,positive
3463,awesome product,1,positive
3583,awesome product,1,positive
3775,awesome product,1,positive
3827,awesome product,1,positive
4098,awesome product alexa,1,positive
3727,awesome product alexa echo generation,1,positive
1500,awesome product amazon,1,positive
2060,awesome product amazon,1,positive
2598,awesome product amazon alexa friend kid,1,positive
1611,awesome product amozon,1,positive
3029,awesome product better expectation,0.75,positive
2094,awesome product buy itif find good blurtooth speaker voice controler buy product,0.5667,positive
993,awesome product cool feature ai love,0.6167,positive
2329,awesome product easy handle good quality sound,0.6858,positive
3427,awesome product go,1,positive
3905,awesome product good quality,0.955,positive
2408,awesome product quality good,0.85,positive
922,awesome product say,1,positive
3078,awesome product sound quality good,0.77,positive
1082,awesome product sound quality good work bluetooth speaker,0.77,positive
2911,awesome product sound quality nice alexa definitely entertain us love product,0.6,positive
3622,awesome product thank amazon,0.6,positive
3376,awesome productalexa understand everything,1,positive
817,awesome producti like itgood buy,0.8,positive
213,awesome productinteraction quality s great work like bluetooth speaker wifi not available but not make disappointmentbut overall impressive product,0.52,positive
968,awesome productmy kid much like lean new things,0.4655,positive
1638,awesome products help everything,1,positive
910,awesome productsound quality excellentvoice recognition also goodif look good smart speaker go itthe thing need good internet connection thats,0.469,positive
2720,awesome productsound quality good,0.85,positive
2746,awesome quality voice fast integration,0.6,positive
4104,awesome response everything,1,positive
2200,awesome smart speaker,0.6071,positive
2017,awesome sound carity simple use like childs,0.5,positive
2237,awesome sound quality,0.7,positive
2537,awesome sound quality,0.7,positive
2686,awesome sound quality get great deal price sale,0.7333,positive
3859,awesome sound quality good product,0.7,positive
1320,awesome sound quality however limit ai database responses limit worth buy if look limit interactions,0.2405,positive
722,awesome useless depend use pros conspros like come jio saavn hungama music gaanabut not multi tasker likeif command play song vol will reply sorry dont know no song name songs name vol but love,0.26,positive
870,awesome worthyyou wont get bass like woofer but yoh wont regret take awesome voice recognition,0.5875,positive
3921,awesomesound,0,neutral
80,awesomethere many things device make wonder cheapi get smart bulb device rsnow control bluetooth speaker tvfirestick bedroom light voice commandsthis fun years old kid alexa tell stories himthe voice recognition good proof even kid command alexa recognise,0.404,positive
3383,awesum,0,neutral
2909,awsm product love feel great someone obey command,0.65,positive
3618,awsm sound awsm clarityevrythng awsm thisno one cn beat,0.4,positive
3464,awsome,0,neutral
1695,awsome device gift friend alexa inbuilt support voice everything totaly cool price,0.425,positive
3989,awsome easy use nice love alexa,0.5544,positive
2447,awsome love package good easy connect bulb life easy,0.6317,positive
